
Attaching file multidimfit.root as _file0...
(TFile *) 0x2286fe0

  RooFitResult: minimized FCN value: -6.28908, estimated distance to minimum: 3.02039e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY17_bin56_LQint    2.0000e+00 +/-  9.76e-01
  prop_binY17_bin56_LQpure    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin56_alpha    2.5000e+01 +/-  3.76e+00
  prop_binY17_bin56_dy_gg    1.9977e+00 +/-  9.75e-01
  prop_binY17_bin56_fmn    2.8014e+01 +/-  3.98e+00
  prop_binY17_bin56_fpl    2.7979e+01 +/-  3.98e+00
  prop_binY17_bin56_gam    1.9995e+00 +/-  9.76e-01
     prop_binY17_bin57    6.7134e-03 +/-  1.68e-01
     prop_binY17_bin58   -1.3402e-02 +/-  1.68e-01
     prop_binY17_bin59    9.8778e-03 +/-  1.68e-01
      prop_binY17_bin6    1.6346e-01 +/-  1.68e-01
     prop_binY17_bin60   -1.0689e-02 +/-  1.68e-01
     prop_binY17_bin61    6.3941e-03 +/-  1.68e-01
     prop_binY17_bin62   -1.5654e-03 +/-  1.68e-01
  prop_binY17_bin63_LQint    2.0000e+00 +/-  9.76e-01
  prop_binY17_bin63_LQpure    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin63_alpha    2.5000e+01 +/-  3.76e+00
  prop_binY17_bin63_dy_gg    2.0004e+00 +/-  9.76e-01
  prop_binY17_bin63_fmn    2.7999e+01 +/-  3.98e+00
  prop_binY17_bin63_fpl    2.8008e+01 +/-  3.98e+00
  prop_binY17_bin63_gam    2.0001e+00 +/-  9.76e-01
     prop_binY17_bin64   -1.3145e-01 +/-  1.68e-01
     prop_binY17_bin65    9.4308e-03 +/-  1.68e-01
     prop_binY17_bin66   -5.0148e-03 +/-  1.68e-01
     prop_binY17_bin67   -9.0461e-04 +/-  1.68e-01
     prop_binY17_bin68    3.8684e-04 +/-  1.68e-01
     prop_binY17_bin69    6.9541e-03 +/-  1.68e-01
      prop_binY17_bin7   -2.4931e-01 +/-  1.67e-01
     prop_binY17_bin70   -2.3745e-03 +/-  1.68e-01
     prop_binY17_bin71    1.0579e-01 +/-  1.68e-01
     prop_binY17_bin72    2.2065e-02 +/-  1.68e-01
     prop_binY17_bin73    6.4054e-03 +/-  1.68e-01
     prop_binY17_bin74    1.0793e-02 +/-  1.68e-01
     prop_binY17_bin75    2.1177e-03 +/-  1.68e-01
     prop_binY17_bin76   -1.2439e-03 +/-  1.68e-01
     prop_binY17_bin77   -4.1875e-03 +/-  1.68e-01
     prop_binY17_bin78    3.5163e-04 +/-  1.68e-01
     prop_binY17_bin79   -6.1706e-03 +/-  1.68e-01
      prop_binY17_bin8   -2.8270e-01 +/-  1.67e-01
  prop_binY17_bin80_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin80_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin80_alpha    3.1001e-05 +/-  1.68e-01
  prop_binY17_bin80_bk    2.0090e+00 +/-  9.76e-01
  prop_binY17_bin80_dy_gg    1.0001e+01 +/-  2.32e+00
