
Attaching file multidimfit.root as _file0...
(TFile *) 0x32a3ce0

  RooFitResult: minimized FCN value: -6.27272, estimated distance to minimum: 0.00143585
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY16_bin72_dy_gg    9.9943e-01 +/-  9.88e-01
  prop_binY16_bin72_fmn    1.2600e-02 +/-  9.94e-01
  prop_binY16_bin72_fpl   -2.2564e-02 +/-  9.93e-01
  prop_binY16_bin72_gam    2.3896e+01 +/-  4.83e+00
     prop_binY16_bin73    3.0395e-03 +/-  9.84e-01
     prop_binY16_bin74    6.6839e-03 +/-  9.89e-01
     prop_binY16_bin75   -2.6911e-03 +/-  9.90e-01
     prop_binY16_bin76    4.0995e-04 +/-  9.90e-01
     prop_binY16_bin77   -6.9410e-03 +/-  9.90e-01
     prop_binY16_bin78    3.8738e-03 +/-  9.88e-01
     prop_binY16_bin79    5.3431e-02 +/-  9.72e-01
      prop_binY16_bin8    1.8445e-03 +/-  8.95e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  6.11e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin80_alpha    8.5177e-05 +/-  9.94e-01
  prop_binY16_bin80_dy_gg    2.0014e+00 +/-  1.40e+00
  prop_binY16_bin80_fmn   -4.7805e-03 +/-  9.92e-01
  prop_binY16_bin80_fpl    6.7648e-03 +/-  9.90e-01
  prop_binY16_bin80_gam    3.0030e+00 +/-  1.72e+00
     prop_binY16_bin81    4.6117e-03 +/-  9.87e-01
     prop_binY16_bin82    2.0705e-02 +/-  9.87e-01
     prop_binY16_bin83    2.9199e-04 +/-  9.90e-01
     prop_binY16_bin84   -4.7140e-04 +/-  9.90e-01
     prop_binY16_bin85   -1.4597e-02 +/-  9.89e-01
     prop_binY16_bin86    1.9231e-03 +/-  9.89e-01
     prop_binY16_bin87   -2.8933e-03 +/-  9.90e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.98e+00
  prop_binY16_bin88_dy_gg   -1.3360e-03 +/-  9.94e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.72e+00
  prop_binY16_bin88_fpl    2.9939e+00 +/-  1.71e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  6.19e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin89_alpha    2.5689e-04 +/-  9.94e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  1.40e+00
  prop_binY16_bin89_fmn   -6.3989e-03 +/-  9.92e-01
  prop_binY16_bin89_fpl    9.4864e-03 +/-  9.88e-01
      prop_binY16_bin9    2.5760e-01 +/-  8.69e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin90_alpha    4.9076e-05 +/-  9.94e-01
  prop_binY16_bin90_dy_gg    3.0002e+00 +/-  1.71e+00
  prop_binY16_bin90_fmn   -7.2279e-04 +/-  9.93e-01
  prop_binY16_bin90_fpl    1.3074e-03 +/-  9.90e-01
  prop_binY16_bin90_gam    2.0006e+00 +/-  1.40e+00
  prop_binY16_bin91_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin91_alpha   -1.7102e-04 +/-  9.94e-01
  prop_binY16_bin91_dy_gg   -6.0653e-05 +/-  9.94e-01
  prop_binY16_bin91_fmn    1.7298e-03 +/-  9.94e-01
  prop_binY16_bin91_fpl   -4.6693e-03 +/-  9.90e-01
  prop_binY16_bin91_gam    1.9983e+00 +/-  1.40e+00
     prop_binY16_bin92    3.9281e-03 +/-  9.89e-01
     prop_binY16_bin93   -1.1383e-03 +/-  9.89e-01
     prop_binY16_bin94   -6.9458e-04 +/-  9.90e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin95_dy_gg   -1.7432e-04 +/-  9.94e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.71e+00
  prop_binY16_bin95_fpl    2.9977e+00 +/-  1.71e+00
      prop_binY17_bin0    3.0169e-01 +/-  7.79e-01
      prop_binY17_bin1   -2.0310e-01 +/-  8.95e-01
     prop_binY17_bin10    1.1111e-01 +/-  9.24e-01
     prop_binY17_bin11   -7.0906e-02 +/-  9.45e-01
     prop_binY17_bin12    8.3148e-02 +/-  9.47e-01
     prop_binY17_bin13   -9.6717e-02 +/-  9.43e-01
     prop_binY17_bin14   -1.6911e-02 +/-  9.63e-01
     prop_binY17_bin15    2.2350e-01 +/-  8.59e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin16_alpha   -5.0610e-04 +/-  9.94e-01
  prop_binY17_bin16_bk    3.6795e+00 +/-  1.65e+00
  prop_binY17_bin16_dy_gg    7.9751e+00 +/-  2.79e+00
  prop_binY17_bin16_fmn    2.7254e-02 +/-  9.92e-01
  prop_binY17_bin16_fpl   -5.0373e-02 +/-  9.86e-01
  prop_binY17_bin16_gam    4.9894e+01 +/-  6.99e+00
     prop_binY17_bin17    4.0889e-03 +/-  9.14e-01
     prop_binY17_bin18    3.2457e-01 +/-  9.03e-01
     prop_binY17_bin19   -9.6650e-02 +/-  9.62e-01
      prop_binY17_bin2    5.9085e-02 +/-  9.41e-01
     prop_binY17_bin20   -3.6455e-03 +/-  9.63e-01
     prop_binY17_bin21   -2.0094e-01 +/-  9.46e-01
     prop_binY17_bin22   -4.6280e-03 +/-  9.51e-01
     prop_binY17_bin23    1.0229e-01 +/-  9.30e-01
  prop_binY17_bin24_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin24_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY17_bin24_alpha    1.0998e+01 +/-  3.28e+00
  prop_binY17_bin24_bk    1.9370e+00 +/-  1.35e+00
  prop_binY17_bin24_dy_gg    9.8718e-01 +/-  9.76e-01
  prop_binY17_bin24_fmn    1.3127e+01 +/-  3.60e+00
  prop_binY17_bin24_fpl    1.2795e+01 +/-  3.51e+00
  prop_binY17_bin24_gam    4.9223e+00 +/-  2.18e+00
     prop_binY17_bin25   -3.7213e-02 +/-  9.72e-01
     prop_binY17_bin26    8.7371e-02 +/-  9.53e-01
     prop_binY17_bin27   -1.0748e-02 +/-  9.73e-01
     prop_binY17_bin28    1.6721e-02 +/-  9.75e-01
     prop_binY17_bin29   -5.3159e-02 +/-  9.70e-01
      prop_binY17_bin3    3.4631e-02 +/-  9.50e-01
     prop_binY17_bin30    3.8944e-03 +/-  9.78e-01
  prop_binY17_bin31_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin31_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY17_bin31_alpha    1.1001e+01 +/-  3.29e+00
  prop_binY17_bin31_bk    2.0227e+00 +/-  1.41e+00
  prop_binY17_bin31_dy_gg    1.0045e+00 +/-  9.93e-01
  prop_binY17_bin31_fmn    1.2979e+01 +/-  3.56e+00
  prop_binY17_bin31_fpl    1.3154e+01 +/-  3.53e+00
  prop_binY17_bin31_gam    5.0274e+00 +/-  2.22e+00
  prop_binY17_bin32_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin32_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin32_alpha   -6.9315e-05 +/-  9.94e-01
  prop_binY17_bin32_bk    6.6114e+00 +/-  1.99e+00
  prop_binY17_bin32_dy_gg    1.5993e+01 +/-  3.96e+00
  prop_binY17_bin32_fmn    4.0806e-03 +/-  9.94e-01
  prop_binY17_bin32_fpl   -1.1485e-02 +/-  9.93e-01
  prop_binY17_bin32_gam   -1.0228e-02 +/-  9.94e-01
     prop_binY17_bin33    1.8731e-02 +/-  9.86e-01
     prop_binY17_bin34    2.2498e-02 +/-  9.46e-01
     prop_binY17_bin35   -1.1280e-01 +/-  9.70e-01
     prop_binY17_bin36    8.7005e-02 +/-  9.67e-01
     prop_binY17_bin37   -2.0408e-02 +/-  9.55e-01
     prop_binY17_bin38   -2.0742e-02 +/-  9.88e-01
     prop_binY17_bin39    1.6157e-01 +/-  8.02e-01
      prop_binY17_bin4    4.6410e-03 +/-  9.53e-01
  prop_binY17_bin40_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin40_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin40_alpha   -3.6030e-04 +/-  9.94e-01
  prop_binY17_bin40_bk    3.3338e+00 +/-  1.52e+00
  prop_binY17_bin40_dy_gg    3.3970e+01 +/-  5.77e+00
  prop_binY17_bin40_fmn    2.1699e-02 +/-  9.94e-01
  prop_binY17_bin40_fpl   -4.2343e-02 +/-  9.93e-01
  prop_binY17_bin40_gam    3.8791e+01 +/-  6.15e+00
     prop_binY17_bin41    4.9921e-02 +/-  9.39e-01
     prop_binY17_bin42    1.8227e-02 +/-  9.89e-01
     prop_binY17_bin43   -4.4272e-03 +/-  9.90e-01
     prop_binY17_bin44    4.6021e-03 +/-  9.90e-01
     prop_binY17_bin45   -1.0804e-02 +/-  9.90e-01
     prop_binY17_bin46   -2.0113e-02 +/-  9.67e-01
     prop_binY17_bin47    2.2319e-01 +/-  9.18e-01
  prop_binY17_bin48_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin48_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin48_alpha    2.9401e-05 +/-  9.94e-01
  prop_binY17_bin48_bk    5.0671e+00 +/-  1.96e+00
  prop_binY17_bin48_dy_gg    1.9002e+01 +/-  4.32e+00
  prop_binY17_bin48_fmn   -1.6270e-03 +/-  9.94e-01
  prop_binY17_bin48_fpl    2.6699e-03 +/-  9.94e-01
  prop_binY17_bin48_gam    2.6015e+01 +/-  5.05e+00
     prop_binY17_bin49    1.9076e-02 +/-  9.86e-01
      prop_binY17_bin5   -5.4380e-02 +/-  9.48e-01
     prop_binY17_bin50    1.9755e-03 +/-  9.89e-01
     prop_binY17_bin51    1.6892e-03 +/-  9.90e-01
     prop_binY17_bin52   -6.4259e-04 +/-  9.91e-01
     prop_binY17_bin53   -8.3327e-04 +/-  9.90e-01
     prop_binY17_bin54   -4.9521e-03 +/-  9.89e-01
     prop_binY17_bin55   -8.7200e-03 +/-  9.29e-01
  prop_binY17_bin56_LQint    2.0000e+00 +/-  1.40e+00
  prop_binY17_bin56_LQpure    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin56_alpha    2.5000e+01 +/-  4.95e+00
  prop_binY17_bin56_dy_gg    1.9976e+00 +/-  1.40e+00
  prop_binY17_bin56_fmn    2.8015e+01 +/-  5.24e+00
  prop_binY17_bin56_fpl    2.7978e+01 +/-  5.23e+00
  prop_binY17_bin56_gam    1.9995e+00 +/-  1.40e+00
     prop_binY17_bin57    6.3332e-03 +/-  9.90e-01
     prop_binY17_bin58   -1.3204e-02 +/-  9.89e-01
     prop_binY17_bin59    1.0002e-02 +/-  9.90e-01
      prop_binY17_bin6    1.6878e-01 +/-  9.05e-01
     prop_binY17_bin60   -1.0736e-02 +/-  9.91e-01
     prop_binY17_bin61    6.3998e-03 +/-  9.90e-01
     prop_binY17_bin62   -1.9481e-03 +/-  9.91e-01
  prop_binY17_bin63_LQint    2.0000e+00 +/-  1.40e+00
  prop_binY17_bin63_LQpure    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin63_alpha    2.5000e+01 +/-  4.95e+00
  prop_binY17_bin63_dy_gg    2.0003e+00 +/-  1.40e+00
  prop_binY17_bin63_fmn    2.7999e+01 +/-  5.24e+00
  prop_binY17_bin63_fpl    2.8007e+01 +/-  5.23e+00
  prop_binY17_bin63_gam    2.0001e+00 +/-  1.40e+00
     prop_binY17_bin64   -1.3116e-01 +/-  9.41e-01
     prop_binY17_bin65    8.9213e-03 +/-  9.92e-01
     prop_binY17_bin66   -5.3838e-03 +/-  9.92e-01
     prop_binY17_bin67   -1.3186e-03 +/-  9.92e-01
     prop_binY17_bin68   -1.0692e-04 +/-  9.92e-01
     prop_binY17_bin69    6.5150e-03 +/-  9.92e-01
      prop_binY17_bin7   -2.4948e-01 +/-  8.05e-01
     prop_binY17_bin70   -3.1637e-03 +/-  9.92e-01
     prop_binY17_bin71    1.0329e-01 +/-  9.50e-01
     prop_binY17_bin72    2.1466e-02 +/-  9.90e-01
     prop_binY17_bin73    6.0273e-03 +/-  9.91e-01
     prop_binY17_bin74    1.0292e-02 +/-  9.92e-01
     prop_binY17_bin75    1.7003e-03 +/-  9.92e-01
     prop_binY17_bin76   -1.7759e-03 +/-  9.92e-01
     prop_binY17_bin77   -4.8741e-03 +/-  9.93e-01
     prop_binY17_bin78   -2.7899e-04 +/-  9.92e-01
     prop_binY17_bin79   -6.8181e-03 +/-  9.92e-01
