
Processing Fitting/LQ_draw_templates.C...
=========================
 m_LQ = 1000.000000, use_LQ_denom = 1, draw_muons = 0, draw_electrons = 1 
=========================
init year 2016  
Setting up SF's 
TH1.Print Name  = emu16_cost_ratio, Entries= 22022, Total sum= 7.5015
Making mc template for sys  
Fixed up bin 1 4 1. Old asym val was -0.36, new is -0.23 

MC templates generated from 244464 events. Sym integral is 3651.6 
 
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 8, converted_index = 96, pure_content= -0.000000000310
init year 2018  
Setting up SF's 
TH1.Print Name  = emu18_cost_ratio, Entries= 18927, Total sum= 7.31791
Making mc template for sys  
MC templates generated from 459502 events. Sym integral is 6640.5 
 
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 1, converted_index = 1, pure_content= 0.000000840776
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 2, converted_index = 2, pure_content= 0.000000099173
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 3, converted_index = 3, pure_content= 0.000000099761
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 4, converted_index = 4, pure_content= 0.000000100086
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 5, converted_index = 5, pure_content= 0.000000100086
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 6, converted_index = 6, pure_content= 0.000000099761
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 7, converted_index = 7, pure_content= 0.000000099173
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 8, converted_index = 8, pure_content= 0.000000840776
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 1, converted_index = 9, pure_content= 0.000125193648
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 2, converted_index = 10, pure_content= 0.000004903637
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 3, converted_index = 11, pure_content= 0.000000058296
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 4, converted_index = 12, pure_content= 0.000000063587
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 5, converted_index = 13, pure_content= 0.000000063587
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 6, converted_index = 14, pure_content= 0.000000058296
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 7, converted_index = 15, pure_content= 0.000004903637
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 8, converted_index = 16, pure_content= 0.000125193648
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 1, converted_index = 17, pure_content= 0.000058636429
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 2, converted_index = 18, pure_content= 0.000000086992
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 3, converted_index = 19, pure_content= 0.000000050912
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 4, converted_index = 20, pure_content= 0.000000022892
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 5, converted_index = 21, pure_content= 0.000000022892
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 6, converted_index = 22, pure_content= 0.000000050912
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 7, converted_index = 23, pure_content= 0.000000086992
i_lqm_bin = 1, i_rap_bin = 3, i_cost_bin = 8, converted_index = 24, pure_content= 0.000058636429
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 1, converted_index = 25, pure_content= 0.000000000202
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 2, converted_index = 26, pure_content= -0.000000088313
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 3, converted_index = 27, pure_content= 0.000000047528
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 4, converted_index = 28, pure_content= 0.000000052688
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 5, converted_index = 29, pure_content= 0.000000052688
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 6, converted_index = 30, pure_content= 0.000000047528
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 7, converted_index = 31, pure_content= -0.000000088313
i_lqm_bin = 1, i_rap_bin = 4, i_cost_bin = 8, converted_index = 32, pure_content= 0.000000000202
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 1, converted_index = 33, pure_content= 0.000000371993
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 2, converted_index = 34, pure_content= 0.000000257090
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 3, converted_index = 35, pure_content= 0.000000266914
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 4, converted_index = 36, pure_content= 0.000000267528
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 5, converted_index = 37, pure_content= 0.000000267528
i_lqm_bin = 2, i_rap_bin = 1, i_cost_bin = 6, converted_index = 38, pure_content= 0.000000266914
